项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,无数据数量,无数据百分比,其他数量,其他百分比,总器件数
25B-W051-320TC2-20251215-D26,正常,5_np3v,-3v~3v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
25B-W051-320TC2-20251215-D26,正常,6_np3.3v,-3.3v~3.3v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,0,0.0%,1024
25B-W051-320TC2-20251215-D26,正常,7_np3.6v,-3.6v~3.6v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
25B-W051-320TC2-20251215-D26,正常,8_np4v,-4v~4v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
25B-W057-344TC2-20251216-D23 only memory,正常,1_np1v,-1v~1v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,0,0.0%,1024
25B-W057-344TC2-20251216-D23 only memory,正常,2_np1.5v,-1.5v~1.5v,12,1.2%,0,0.0%,0,0.0%,1012,98.8%,0,0.0%,0,0.0%,1024
25B-W057-344TC2-20251216-D23 only memory,正常,3_np2v,-2v~2v,18,1.8%,0,0.0%,0,0.0%,1007,98.2%,0,0.0%,0,0.0%,1025
25B-W057-344TC2-20251216-D23 only memory,正常,4_np2v,-2v~2v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,0,0.0%,1024
25B-W057-344TC2-20251216-D23 only memory,正常,5_np2.5v,-2.5v~2.5v,15,1.5%,0,0.0%,0,0.0%,1009,98.5%,0,0.0%,0,0.0%,1024
25B-W057-344TC2-20251216-D23 only memory,正常,6_np3v,-3v~3v,94,9.8%,0,0.0%,0,0.0%,866,90.2%,0,0.0%,0,0.0%,960
25B-W057-344TC2-20251216-D23 only memory,正常,7_np3.3v,-3.3v~3.3v,110,13.2%,0,0.0%,0,0.0%,722,86.8%,0,0.0%,0,0.0%,832
25B-W057-344TC2-20251216-D23 only memory,正常,8_np3.6v,-3.6v~3.6v,178,21.4%,0,0.0%,0,0.0%,654,78.6%,0,0.0%,0,0.0%,832
25B-W057-346TC2-20251219-D27.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W060-355TC2-20260313-ND27.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W060-358TC2-20260205-ND24.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W062-364TC2-20260105-D23.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W062-365TC2-20251231-D24,正常,4_np2.5v,-2.5v~2.5v,16,8.2%,7,3.6%,0,0.0%,173,88.3%,0,0.0%,0,0.0%,196
25B-W062-366TC2-20251222-D26.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W065-375TC2-20260313-ND25,正常,1_np1v,-1v~1v,5,0.5%,0,0.0%,0,0.0%,1019,99.5%,0,0.0%,0,0.0%,1024
25B-W065-375TC2-20260313-ND25,正常,2_np1.5v,-1.5v~1.5v,7,0.7%,0,0.0%,0,0.0%,1017,99.3%,0,0.0%,0,0.0%,1024
25B-W065-375TC2-20260313-ND25,正常,3_np2v,-2v~2v,9,0.9%,0,0.0%,0,0.0%,1015,99.1%,0,0.0%,0,0.0%,1024
25B-W065-375TC2-20260313-ND25,正常,4_np2.5v,-2.5v~2.5v,10,1.0%,0,0.0%,0,0.0%,1014,99.0%,0,0.0%,0,0.0%,1024
25B-W065-375TC2-20260313-ND25,正常,5_np3v,-3v~3v,11,1.1%,0,0.0%,0,0.0%,994,98.9%,0,0.0%,0,0.0%,1005
25B-W065-375TC2-20260313-ND25,正常,6_n3p2,-3v~2v,10,1.0%,0,0.0%,0,0.0%,1014,99.0%,0,0.0%,0,0.0%,1024
25B-W065-376TC2-20260420-ND25,正常,10_n3p3,-3v~3v,41,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,41
25B-W065-376TC2-20260420-ND25,正常,11_n3p2,-3v~2v,30,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,30
25B-W065-376TC2-20260420-ND25,正常,1_np1,-1v~1v,7,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,7
25B-W065-376TC2-20260420-ND25,正常,2_np1.5,-1.5v~1.5v,2,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,2
25B-W065-376TC2-20260420-ND25,正常,3_np2,-2v~2v,6,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,6
25B-W065-376TC2-20260420-ND25,正常,4_n2.5p2,-2.5v~2v,7,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,7
25B-W065-376TC2-20260420-ND25,正常,5_np2.5,-2.5v~2.5v,14,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,14
25B-W065-376TC2-20260420-ND25,正常,8_n3p2.5,-3v~2.5v,18,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,18
25B-W065-376TC2-20260420-ND25,正常,9_n3p3,-3v~3v,32,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,32
25B-W065-376TC2-20260420-ND25,正常,open_16,-2v~2v,0,0.0%,0,0.0%,0,0.0%,16,100.0%,0,0.0%,0,0.0%,16
25B-W065-376TC2-20260420-ND25,正常,open_2,-1v~1v,0,0.0%,0,0.0%,0,0.0%,2,100.0%,0,0.0%,0,0.0%,2
25B-W065-376TC2-20260420-ND25,正常,open_22,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,22,100.0%,0,0.0%,0,0.0%,22
25B-W065-376TC2-20260420-ND25,正常,open_39,-3v~2v,0,0.0%,0,0.0%,0,0.0%,39,100.0%,0,0.0%,0,0.0%,39
25B-W065-376TC2-20260420-ND25,正常,open_43,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,43,100.0%,0,0.0%,0,0.0%,43
25B-W065-376TC2-20260420-ND25,正常,open_49,-3v~3v,0,0.0%,0,0.0%,0,0.0%,49,100.0%,0,0.0%,0,0.0%,49
25B-W065-376TC2-20260420-ND25,正常,open_51,-3v~2.5v,0,0.0%,0,0.0%,0,0.0%,51,100.0%,0,0.0%,0,0.0%,51
25B-W065-376TC2-20260420-ND25,正常,open_62,-2.5v~2v,0,0.0%,0,0.0%,0,0.0%,62,100.0%,0,0.0%,0,0.0%,62
25B-W065-376TC2-20260420-ND25,正常,open_66,-3v~3v,0,0.0%,0,0.0%,0,0.0%,66,100.0%,0,0.0%,0,0.0%,66
25B-W065-376TC2-20260420-ND25,空文件夹,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W067-383TC2-20260130-ND23.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W067-384TC2-20260115-ND21.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W067-385TC2-20251229-D27.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W067-386TC2-20260121-ND22,正常,10_n3.3p3v   56,-3.3v~3v   56,58,5.7%,0,0.0%,0,0.0%,966,94.3%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,11_n3.3p3v  66,-3.3v~3v  66,8,1.0%,0,0.0%,0,0.0%,809,99.0%,0,0.0%,0,0.0%,817
25B-W067-386TC2-20260121-ND22,正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,2_np1.5v   2,-1.5v~1.5v   2,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,3_np2v   1,-2v~2v   1,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,4_np2v   1,-2v~2v   1,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,5_np2.5v  4,-2.5v~2.5v  4,4,0.4%,0,0.0%,0,0.0%,1019,99.6%,0,0.0%,0,0.0%,1023
25B-W067-386TC2-20260121-ND22,正常,6_np2.5v 5,-2.5v~2.5v 5,5,0.5%,0,0.0%,0,0.0%,1019,99.5%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,7_np3v  18,-3v~3v  18,19,1.9%,0,0.0%,0,0.0%,1005,98.1%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,8_np3v  28,-3v~3v  28,30,2.9%,0,0.0%,0,0.0%,994,97.1%,0,0.0%,0,0.0%,1024
25B-W067-386TC2-20260121-ND22,正常,9_n3.3p3v  43,-3.3v~3v  43,2,1.2%,0,0.0%,0,0.0%,161,98.8%,0,0.0%,0,0.0%,163
25B-W067-386TC2-20260121-ND22.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W088-468TC2-20250311-ND28.zip,压缩包,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
25B-W088-468TC2-20260309-ND28,正常,3_np2v,-2v~2v,4,0.4%,0,0.0%,0,0.0%,1015,99.6%,0,0.0%,0,0.0%,1019
25B-W088-468TC2-20260309-ND28,正常,4_np2.5v,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,4,100.0%,0,0.0%,0,0.0%,4
25B-W088-468TC2-20260309-ND28,正常,6_np3v,-3v~3v,11,2.7%,0,0.0%,0,0.0%,396,97.3%,0,0.0%,0,0.0%,407
25B-W088-468TC2-20260309-ND28,正常,7_np3.3v,-3.3v~3.3v,31,3.1%,0,0.0%,0,0.0%,967,96.9%,0,0.0%,0,0.0%,998
25B-W088-468TC2-20260309-ND28,正常,8_n3p2v,-3v~2v,24,2.5%,0,0.0%,0,0.0%,953,97.5%,0,0.0%,0,0.0%,977
25B-W088-468TC2-20260309-ND28,正常,9_n3.3p2v,-3.3v~2v,0,0.0%,0,0.0%,0,0.0%,78,100.0%,0,0.0%,0,0.0%,78
25BW085-458TC2-20260601-ND214,正常,10_n3.3p3v,-3.3v~3v,29,93.5%,0,0.0%,0,0.0%,2,6.5%,0,0.0%,0,0.0%,31
25BW085-458TC2-20260601-ND214,正常,11_np3.3v,-3.3v~3.3v,28,90.3%,0,0.0%,0,0.0%,3,9.7%,0,0.0%,0,0.0%,31
25BW085-458TC2-20260601-ND214,正常,12_n3p2v,-3v~2v,23,85.2%,0,0.0%,0,0.0%,4,14.8%,0,0.0%,0,0.0%,27
25BW085-458TC2-20260601-ND214,正常,1_np1v,-1v~1v,2,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,2
25BW085-458TC2-20260601-ND214,正常,2_np1.5v,-1.5v~1.5v,7,87.5%,0,0.0%,0,0.0%,1,12.5%,0,0.0%,0,0.0%,8
25BW085-458TC2-20260601-ND214,正常,3_np2v,-2v~2v,29,74.4%,0,0.0%,0,0.0%,10,25.6%,0,0.0%,0,0.0%,39
25BW085-458TC2-20260601-ND214,正常,4_np2.5v,-2.5v~2.5v,54,78.3%,0,0.0%,0,0.0%,15,21.7%,0,0.0%,0,0.0%,69
25BW085-458TC2-20260601-ND214,正常,5_n3p2.5v,-3v~2.5v,47,95.9%,0,0.0%,0,0.0%,2,4.1%,0,0.0%,0,0.0%,49
25BW085-458TC2-20260601-ND214,正常,6_n3p3v,-3v~3v,42,97.7%,0,0.0%,0,0.0%,1,2.3%,0,0.0%,0,0.0%,43
25BW085-458TC2-20260601-ND214,正常,7_n3p2v,-3v~2v,36,94.7%,0,0.0%,0,0.0%,2,5.3%,0,0.0%,0,0.0%,38
25BW085-458TC2-20260601-ND214,正常,8_n3.3p2v,-3.3v~2v,32,91.4%,0,0.0%,0,0.0%,3,8.6%,0,0.0%,0,0.0%,35
25BW085-458TC2-20260601-ND214,正常,9_n3.3p2.5v,-3.3v~2.5v,31,88.6%,0,0.0%,0,0.0%,4,11.4%,0,0.0%,0,0.0%,35
25BW085-458TC2-20260601-ND214,正常,open_104,-3v~2v,0,0.0%,0,0.0%,3,2.9%,101,97.1%,0,0.0%,0,0.0%,104
25BW085-458TC2-20260601-ND214,正常,open_11,-2v~2v,0,0.0%,0,0.0%,0,0.0%,11,100.0%,0,0.0%,0,0.0%,11
25BW085-458TC2-20260601-ND214,正常,open_136,-3.3v~2v,1,0.7%,0,0.0%,4,2.9%,131,96.3%,0,0.0%,0,0.0%,136
25BW085-458TC2-20260601-ND214,正常,open_137,-3.3v~2.5v,2,1.5%,0,0.0%,6,4.4%,129,94.2%,0,0.0%,0,0.0%,137
25BW085-458TC2-20260601-ND214,正常,open_157,-3.3v~3.3v,1,0.6%,0,0.0%,6,3.8%,150,95.5%,0,0.0%,0,0.0%,157
25BW085-458TC2-20260601-ND214,正常,open_164,-3.3v~3v,2,1.2%,0,0.0%,9,5.5%,153,93.3%,0,0.0%,0,0.0%,164
25BW085-458TC2-20260601-ND214,正常,open_28,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,28,100.0%,0,0.0%,0,0.0%,28
25BW085-458TC2-20260601-ND214,正常,open_43,-3v~2v,0,0.0%,0,0.0%,0,0.0%,43,100.0%,0,0.0%,0,0.0%,43
25BW085-458TC2-20260601-ND214,正常,open_5,-1v~1v,0,0.0%,0,0.0%,0,0.0%,5,100.0%,0,0.0%,0,0.0%,5
25BW085-458TC2-20260601-ND214,正常,open_54,-3v~2.5v,0,0.0%,0,0.0%,0,0.0%,54,100.0%,0,0.0%,0,0.0%,54
25BW085-458TC2-20260601-ND214,正常,open_56,-3v~3v,0,0.0%,0,0.0%,0,0.0%,56,100.0%,0,0.0%,0,0.0%,56
25BW085-458TC2-20260601-ND214,正常,open_9,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,9,100.0%,0,0.0%,0,0.0%,9
25BW088-467TC2-20260528-ND25,正常,open_109,-3v~3v,0,0.0%,0,0.0%,0,0.0%,109,100.0%,0,0.0%,0,0.0%,109
25BW088-467TC2-20260528-ND25,正常,open_126,-3.3v~3.3v,0,0.0%,0,0.0%,0,0.0%,126,100.0%,0,0.0%,0,0.0%,126
25BW088-467TC2-20260528-ND25,正常,open_136,-4v~4v,0,0.0%,0,0.0%,0,0.0%,136,100.0%,0,0.0%,0,0.0%,136
25BW088-467TC2-20260528-ND25,正常,open_140,-3.6v~3.6v,0,0.0%,0,0.0%,0,0.0%,140,100.0%,0,0.0%,0,0.0%,140
25BW088-467TC2-20260528-ND25,正常,open_15,-1v~1v,0,0.0%,0,0.0%,0,0.0%,15,100.0%,0,0.0%,0,0.0%,15
25BW088-467TC2-20260528-ND25,正常,open_18,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,18,100.0%,0,0.0%,0,0.0%,18
25BW088-467TC2-20260528-ND25,正常,open_20,-2v~2v,0,0.0%,0,0.0%,0,0.0%,20,100.0%,0,0.0%,0,0.0%,20
25BW088-467TC2-20260528-ND25,正常,open_205,-4.5v~4.5v,0,0.0%,0,0.0%,0,0.0%,205,100.0%,0,0.0%,0,0.0%,205
25BW088-467TC2-20260528-ND25,正常,open_211,-5v~5v,0,0.0%,0,0.0%,0,0.0%,211,100.0%,0,0.0%,0,0.0%,211
25BW088-467TC2-20260528-ND25,正常,open_48,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,48,100.0%,0,0.0%,0,0.0%,48
25BW088-470TC2-20260518-ND216,正常,1_np1v,-1v~1v,1,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1
25BW088-470TC2-20260518-ND216,正常,2_np1.5v,-1.5v~1.5v,1,50.0%,0,0.0%,0,0.0%,1,50.0%,0,0.0%,0,0.0%,2
25BW088-470TC2-20260518-ND216,正常,3_np2v,-2v~2v,107,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,107
25BW088-470TC2-20260518-ND216,正常,4_n2.5p2v,-2.5v~2v,893,99.0%,0,0.0%,0,0.0%,9,1.0%,0,0.0%,0,0.0%,902
25BW088-470TC2-20260518-ND216,正常,5_n3p2v,-3v~2v,954,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,954
25BW088-470TC2-20260518-ND216,正常,6_n2.7p2v,-2.7v~2v,961,99.7%,0,0.0%,0,0.0%,3,0.3%,0,0.0%,0,0.0%,964
25BW088-470TC2-20260518-ND216,正常,open_16,-2v~2v,4,25.0%,0,0.0%,0,0.0%,12,75.0%,0,0.0%,0,0.0%,16
25BW088-470TC2-20260518-ND216,正常,open_3,-2.5v~2v,0,0.0%,0,0.0%,0,0.0%,3,100.0%,0,0.0%,0,0.0%,3
25BW088-470TC2-20260518-ND216,正常,open_30,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,30,100.0%,0,0.0%,0,0.0%,30
25BW088-470TC2-20260518-ND216,正常,open_4,-2.7v~2v,0,0.0%,0,0.0%,0,0.0%,4,100.0%,0,0.0%,0,0.0%,4
25BW088-470TC2-20260518-ND216,正常,open_4,-3v~2v,0,0.0%,0,0.0%,0,0.0%,4,100.0%,0,0.0%,0,0.0%,4
25BW088-470TC2-20260518-ND216,正常,open_9,-1v~1v,0,0.0%,0,0.0%,0,0.0%,9,100.0%,0,0.0%,0,0.0%,9
26B-W108-547TC2-20260410-ND211-short,正常,10_n3p2_second,-3v~2v_second,563,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,563
26B-W108-547TC2-20260410-ND211-short,正常,1_np1,-1v~1v,140,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,140
26B-W108-547TC2-20260410-ND211-short,正常,2_np1_second,-1v~1v_second,61,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,61
26B-W108-547TC2-20260410-ND211-short,正常,3_np1.5,-1.5v~1.5v,355,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,355
26B-W108-547TC2-20260410-ND211-short,正常,4_np1.5_second,-1.5v~1.5v_second,163,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,163
26B-W108-547TC2-20260410-ND211-short,正常,5_np2,-2v~2v,705,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,705
26B-W108-547TC2-20260410-ND211-short,正常,6_np2_second,-2v~2v_second,367,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,367
26B-W108-547TC2-20260410-ND211-short,正常,7_np2.5,-2.5v~2.5v,581,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,581
26B-W108-547TC2-20260410-ND211-short,正常,8_np2.5_second,-2.5v~2.5v_second,279,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,279
26B-W108-547TC2-20260410-ND211-short,正常,9_n3p2,-3v~2v,456,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,456
26B-W108-547TC2-20260410-ND211-short,正常,open_1,-1.5v~1.5v,1,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1
26B-W108-547TC2-20260410-ND211-short,正常,open_1,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
26B-W108-547TC2-20260410-ND211-short,正常,open_1,-3v~2v,1,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1
26B-W108-547TC2-20260410-ND211-short,正常,open_2,-1v~1v,0,0.0%,0,0.0%,0,0.0%,2,100.0%,0,0.0%,0,0.0%,2
26B-W108-547TC2-20260410-ND211-short,正常,open_2,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,2,100.0%,0,0.0%,0,0.0%,2
26B-W108-547TC2-20260410-ND211-short,正常,open_3,-1.5v~1.5v,1,33.3%,0,0.0%,0,0.0%,2,66.7%,0,0.0%,0,0.0%,3
26B-W108-547TC2-20260410-ND211-short,正常,open_3,-1v~1v,0,0.0%,0,0.0%,0,0.0%,3,100.0%,0,0.0%,0,0.0%,3
26B-W108-548TC2-20260410-ND213,正常,10_n3p2,-3v~2v,304,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,304
26B-W108-548TC2-20260410-ND213,正常,11_n3p2_second,-3v~2v_second,356,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,356
26B-W108-548TC2-20260410-ND213,正常,12_n3p2_third,-3v~2v_third,379,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,379
26B-W108-548TC2-20260410-ND213,正常,13_n3p2.5,-3v~2.5v,373,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,373
26B-W108-548TC2-20260410-ND213,正常,1_np1,-1v~1v,93,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,93
26B-W108-548TC2-20260410-ND213,正常,2_np1.5,-1.5v~1.5v,192,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,192
26B-W108-548TC2-20260410-ND213,正常,3_np1.5_second,-1.5v~1.5v_second,64,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,64
26B-W108-548TC2-20260410-ND213,正常,4_np1.5_third,-1.5v~1.5v_third,40,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,40
26B-W108-548TC2-20260410-ND213,正常,5_np2,-2v~2v,455,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,455
26B-W108-548TC2-20260410-ND213,正常,6_np2_second,-2v~2v_second,162,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,162
26B-W108-548TC2-20260410-ND213,正常,7_np2_third,-2v~2v_third,113,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,113
26B-W108-548TC2-20260410-ND213,正常,8_np2.5,-2.5v~2.5v,512,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,512
26B-W108-548TC2-20260410-ND213,正常,9_np2.5_second,-2.5v~2.5v_second,147,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,147
26B-W108-548TC2-20260410-ND213,正常,open_1,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
26B-W108-548TC2-20260410-ND213,正常,open_1,-3v~2.5v,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
26B-W108-548TC2-20260410-ND213,正常,open_12,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,12,100.0%,0,0.0%,0,0.0%,12
26B-W108-548TC2-20260410-ND213,正常,open_13,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,13,100.0%,0,0.0%,0,0.0%,13
26B-W108-548TC2-20260410-ND213,正常,open_2,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,2,100.0%,0,0.0%,0,0.0%,2
26B-W108-548TC2-20260410-ND213,正常,open_3,-2v~2v,0,0.0%,0,0.0%,0,0.0%,3,100.0%,0,0.0%,0,0.0%,3
26B-W108-548TC2-20260410-ND213,正常,open_6,-2v~2v,0,0.0%,0,0.0%,0,0.0%,6,100.0%,0,0.0%,0,0.0%,6
26B-W108-549TC2-20260413-ND29,正常,3_np2,-2v~2v,1,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1
26B-W108-549TC2-20260413-ND29,正常,open_125,-4v~4v,0,0.0%,0,0.0%,0,0.0%,125,100.0%,0,0.0%,0,0.0%,125
26B-W108-549TC2-20260413-ND29,正常,open_131,-4.5v~4.5v,0,0.0%,0,0.0%,0,0.0%,131,100.0%,0,0.0%,0,0.0%,131
26B-W108-549TC2-20260413-ND29,正常,open_137,-5v~5v,0,0.0%,0,0.0%,0,0.0%,137,100.0%,0,0.0%,0,0.0%,137
26B-W108-549TC2-20260413-ND29,正常,open_18,-2v~2v,0,0.0%,0,0.0%,0,0.0%,18,100.0%,0,0.0%,0,0.0%,18
26B-W108-549TC2-20260413-ND29,正常,open_24,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,24,100.0%,0,0.0%,0,0.0%,24
26B-W108-549TC2-20260413-ND29,正常,open_29,-2v~2v,0,0.0%,0,0.0%,0,0.0%,29,100.0%,0,0.0%,0,0.0%,29
26B-W108-549TC2-20260413-ND29,正常,open_51,-2.5v~2.5v,0,0.0%,0,0.0%,0,0.0%,51,100.0%,0,0.0%,0,0.0%,51
26B-W108-549TC2-20260413-ND29,正常,open_52,-3v~3v,0,0.0%,0,0.0%,0,0.0%,52,100.0%,0,0.0%,0,0.0%,52
26B-W108-549TC2-20260413-ND29,正常,open_55,-3v~3v,0,0.0%,0,0.0%,0,0.0%,55,100.0%,0,0.0%,0,0.0%,55
26B-W108-549TC2-20260413-ND29,正常,open_74,-3.3v~3.3v,0,0.0%,0,0.0%,0,0.0%,74,100.0%,0,0.0%,0,0.0%,74
26B-W108-549TC2-20260413-ND29,正常,open_8,-1v~1v,0,0.0%,0,0.0%,0,0.0%,8,100.0%,0,0.0%,0,0.0%,8
26B-W108-549TC2-20260413-ND29,正常,open_9,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,9,100.0%,0,0.0%,0,0.0%,9
26B-W108-549TC2-20260413-ND29,正常,open_97,-3.6v~3.6v,0,0.0%,0,0.0%,0,0.0%,97,100.0%,0,0.0%,0,0.0%,97
26B-W110-555TC2-20260421-ND216,正常,10_n3p2,-3v~2v,217,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,217
26B-W110-555TC2-20260421-ND216,正常,11_n3p2,-3v~2v,247,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,247
26B-W110-555TC2-20260421-ND216,正常,1_np1,-1v~1v,73,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,73
26B-W110-555TC2-20260421-ND216,正常,2_np1_second,-1v~1v_second,42,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,42
26B-W110-555TC2-20260421-ND216,正常,3_np1.5,-1.5v~1.5v,140,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,140
26B-W110-555TC2-20260421-ND216,正常,4_np1.5_second,-1.5v~1.5v_second,88,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,88
26B-W110-555TC2-20260421-ND216,正常,5_np2,-2v~2v,194,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,194
26B-W110-555TC2-20260421-ND216,正常,6_n2.5p2,-2.5v~2v,198,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,198
26B-W110-555TC2-20260421-ND216,正常,7_np2.5,-2.5v~2.5v,247,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,247
