项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,无数据数量,无数据百分比,其他数量,其他百分比,总器件数
24B-W028-244TC2-20250807-D24,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W028-244TC2-20250807-D24,正常,4_np2.5v,-2.5v~2.5v,14,1.4%,0,0.0%,0,0.0%,1010,98.6%,0,0.0%,0,0.0%,1024
24B-W028-244TC2-20250807-D24,正常,5_np2.5v,-2.5v~2.5v,14,1.4%,0,0.0%,0,0.0%,1010,98.6%,0,0.0%,0,0.0%,1024
24B-W028-244TC2-20250807-D24,正常,6_np3v,-3v~3v,77,7.5%,0,0.0%,0,0.0%,947,92.5%,0,0.0%,0,0.0%,1024
24B-W028-244TC2-20250807-D24,正常,7_np3.3v,-3.3v~3.3v,553,54.0%,0,0.0%,0,0.0%,471,46.0%,0,0.0%,0,0.0%,1024
24B-W028-244TC2-20250807-D24,正常,8_np3.3v,-3.3v~3.3v,559,54.6%,0,0.0%,0,0.0%,465,45.4%,0,0.0%,0,0.0%,1024
24B-W032-248TC2-20250718-D22,正常,1_np1v,-1v~1v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,0,0.0%,1024
24B-W032-248TC2-20250718-D22,正常,2_np1.5v,-1.5v~1.5v,15,1.5%,0,0.0%,0,0.0%,1009,98.5%,0,0.0%,0,0.0%,1024
24B-W032-248TC2-20250718-D22,正常,3_np2v,-2v~2v,9,0.9%,0,0.0%,0,0.0%,1001,99.1%,0,0.0%,0,0.0%,1010
24B-W032-248TC2-20250718-D22,正常,4_np2.5v,-2.5v~2.5v,567,55.4%,0,0.0%,0,0.0%,457,44.6%,0,0.0%,0,0.0%,1024
24B-W032-248TC2-20250718-D22,正常,5_np3v,-3v~3v,750,73.2%,0,0.0%,0,0.0%,274,26.8%,0,0.0%,0,0.0%,1024
24B-W032-248TC2-20250718-D22,正常,6_np3.3v,-3.3v~3.3v,110,11.1%,0,0.0%,0,0.0%,881,88.9%,0,0.0%,0,0.0%,991
24B-W033-254TC2-20250707-D25,正常,7_np3v,-3v~3v,1,0.5%,0,0.0%,0,0.0%,215,99.5%,0,0.0%,0,0.0%,216
24B-W034-260TC2-20250515-D23,正常,1_np1v,-1v~1v,5,0.5%,64,6.2%,0,0.0%,955,93.3%,0,0.0%,0,0.0%,1024
24B-W034-260TC2-20250515-D23,正常,2_np1.5v,-1.5v~1.5v,91,8.9%,64,6.2%,0,0.0%,869,84.9%,0,0.0%,0,0.0%,1024
24B-W034-260TC2-20250515-D23,正常,3_np2v,-2v~2v,562,54.9%,64,6.2%,0,0.0%,398,38.9%,0,0.0%,0,0.0%,1024
