所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W011-205TC2-20250826-D22,6_np3.3v,-3.3v~3.3v,正常,888,888,1.7207995495495494,1.75,0.764075977617008,0.03,3.3,3.27,1.7993989272880537,888,-2.224313063063063,-2.41,0.9181194820277996,-3.3,-0.03,3.27,2.162171380175468
24B-W011-207TC2-20200813-D23,5_np3v,-3v~3v,正常,19,19,1.4131578947368422,1.26,0.4366800587205815,0.84,2.52,1.6800000000000002,1.0283815382869694,19,-2.0399999999999996,-1.83,0.5990826320300063,-3.0,-1.11,1.89,1.410839598430665
24B-W015_227TC2_20241224,1_np1v,-1v~1v,正常,1024,1024,0.5022265625,0.49,0.28325976292404975,0.01,1.0,0.99,0.6670767416861372,1024,-0.5682812500000001,-0.6,0.2885606153635713,-1.0,-0.01,0.99,0.6795602491812104
24B-W015_227TC2_20241224,2_np1.5v,-1.5v~1.5v,正常,1837,1835,0.8592670299727521,0.93,0.4264939674000481,0.015,1.5,1.485,1.0043932932271131,1835,-0.9250463215258856,-1.005,0.4707596827238162,-1.5,-0.015,1.485,1.108639052814587
24B-W015_227TC2_20241224,3_np2,-2v~2v,正常,1997,1995,1.3213634085213033,1.34,0.40814690670980386,0.02,2.0,1.98,0.9611859653015881,1995,-1.6796491228070176,-1.92,0.5124974518056693,-2.0,-0.02,1.98,1.2069314990023512
24B-W015_227TC2_20241224,4_n2.5p2,-2.5v~2v,正常,2254,2254,1.2017923691215617,1.22,0.31153469379290577,0.02,2.0,1.98,0.733664203882293,2253,-1.9738570794496229,-2.075,0.538338726417098,-2.5,-0.025,2.475,1.2677877007122658
24B-W018-230TC2-20251103-D26,6_np3.3v,-3.3v~3.3v,正常,495,495,1.7372121212121212,1.95,0.9141815134473525,0.03,3.27,3.24,2.152897464168515,495,-2.167939393939394,-2.24,0.9228082669406711,-3.3,-0.1,3.1999999999999997,2.1732134686452804
24B-W028-244TC2-20250807-D24,1_np1v,-1v~1v,正常,1024,1024,0.5626953124999999,0.6,0.28568820876451523,0.1,1.0,0.9,0.6727957316404334,1024,-0.5107421875,-0.6,0.22779026027456284,-0.8,-0.2,0.6000000000000001,0.5364460629465955
24B-W028-244TC2-20250807-D24,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.74384765625,0.75,0.40097783733712417,0.1,1.4,1.2999999999999998,0.9443028069289274,1024,-0.7115234374999999,-0.7,0.3987076182442983,-1.3,-0.1,1.2,0.9389564409653225
24B-W028-244TC2-20250807-D24,3_np2v,-2v~2v,正常,1024,1024,1.0119140625,1.0,0.5408933709580237,0.1,1.9,1.7999999999999998,1.2738038886061458,1024,-1.040234375,-1.0,0.5221415632492172,-1.8,-0.2,1.6,1.2296433814519065
24B-W028-244TC2-20250807-D24,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.26572265625,1.3,0.6693301134833363,0.1,2.4,2.3,1.576272417253257,1024,-1.2865234375,-1.3,0.6813921287164499,-2.3,-0.1,2.1999999999999997,1.6046784631272395
24B-W028-244TC2-20250807-D24,5_np2.5v,-2.5v~2.5v,正常,1024,1024,1.28466796875,1.3,0.6515709920512679,0.1,2.4,2.3,1.534449686280736,1024,-1.1671875,-1.1,0.6838576535526825,-2.3,-0.1,2.1999999999999997,1.610484774116567
24B-W028-244TC2-20250807-D24,6_np3v,-3v~3v,正常,1024,1024,1.6240234375,1.7,0.6804697815442058,0.1,2.9,2.8,1.6025063355366047,1024,-1.6052734375,-1.6,0.781313731515855,-2.8,-0.2,2.5999999999999996,1.8399938377198386
24B-W028-244TC2-20250807-D24,7_np3.3v,-3.3v~3.3v,正常,1025,1024,1.87939453125,1.9,0.7112661494107053,0.1,3.2,3.1,1.675031781862211,1024,-1.6814453125000002,-1.7,0.9121357645221091,-3.1,-0.1,3.0,2.1480797254495667
