所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R00.txt,正常,1.08,-1.215,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R01.txt,正常,0.675,-1.08,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R02.txt,正常,1.44,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R03.txt,正常,1.38,-1.185,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R04.txt,正常,0.435,-0.81,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R05.txt,正常,0.975,-0.855,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R06.txt,正常,1.05,-1.425,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R07.txt,正常,0.18,-1.35,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R08.txt,正常,0.9,-0.36,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R09.txt,正常,0.765,-1.35,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R10.txt,正常,0.84,-0.6,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R11.txt,正常,1.29,-1.35,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R12.txt,正常,0.885,-0.81,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R13.txt,正常,0.15,-1.2,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R14.txt,正常,0.075,-0.36,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00001_BL_R15.txt,正常,0.69,-1.275,404
