所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
25BW060-355TC3-D38,1_np1v,-1v~1v,正常,1024,1024,0.4887890625,0.49,0.27789197117178466,0.02,0.99,0.97,0.6544355921095528,1024,-0.470458984375,-0.45,0.2812868145165427,-0.98,-0.01,0.97,0.662430448186458
25BW060-355TC3-D38,2_np1.5v,-1.5v~1.5v,正常,1026,1024,0.7312890624999999,0.69,0.4289903790246338,0.02,1.49,1.47,1.0102723426030125,1024,-0.731689453125,-0.72,0.4163759031376325,-1.48,-0.01,1.47,0.9805652518891246
25BW060-355TC3-D38,3_np2v,-2v~2v,正常,1025,1023,1.2138905180840664,1.37,0.6306854250883015,0.02,1.99,1.97,1.48526417608295,1024,-1.18111328125,-1.29,0.6193986384969078,-1.98,-0.01,1.97,1.458683793660218
25BW060-355TC3-D38,4_np2.5v,-2.5v~2.5v,正常,1026,1024,1.7030566406249998,2.07,0.6971642972748706,0.02,2.5,2.48,1.6418219200823203,1024,-2.00484375,-2.26,0.6255390441824367,-2.49,-0.01,2.4800000000000004,1.4731444490496384
25BW060-355TC3-D38,5_n3p2.5,-3v~2.5v,正常,1026,1024,1.068115234375,0.97,0.48816197494815416,0.01,2.49,2.4800000000000004,1.149621451002903,1024,-2.367861328125,-2.62,0.6993855817036898,-2.99,-0.03,2.9600000000000004,1.6470530449121894
25BW062-363TC3-D34_20260401,1_np1v,-1v~1v,正常,1024,1024,0.640185546875,0.7,0.2523335174979288,0.02,0.99,0.97,0.5942454337076224,1024,-0.639697265625,-0.75,0.2863499457814099,-0.98,-0.01,0.97,0.6743541223152203
25BW062-363TC3-D34_20260401,2_np1.5v,-1.5v~1.5v,正常,1026,1024,0.9899414062499999,1.06,0.3378284347185334,0.02,1.49,1.47,0.7955859637621462,1024,-1.079521484375,-1.28,0.4189250610450478,-1.48,-0.01,1.47,0.9865685187610875
25BW062-363TC3-D34_20260401,3_np2v,-2v~2v,正常,1025,1023,1.317253176930596,1.53,0.48984459917176243,0.03,1.99,1.96,1.1535840310495005,1024,-1.607744140625,-1.83,0.4801295941103919,-1.98,-0.01,1.97,1.1307051941299728
25BW062-363TC3-D34_20260401,4_n2.5p2,-2.5v~2v,正常,1026,1024,1.099970703125,1.04,0.4247562685869438,0.02,1.99,1.97,1.0003010125222527,1024,-2.0391113281249997,-2.1550000000000002,0.46662207367091413,-2.49,-0.01,2.4800000000000004,1.0988949834950028
25BW062-363TC3-D34_20260401,5_np2.5,-2.5v~2.5v,正常,1026,1024,1.624990234375,1.49,0.4928453901525979,0.01,2.49,2.4800000000000004,1.160650893809368,1024,-2.00365234375,-2.15,0.5249634723915847,-2.49,-0.06,2.43,1.236288977482182
