所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W028-244TC2-20250807-D24,1_np1v,-1v~1v,正常,1024,1024,0.5626953124999999,0.6,0.28568820876451523,0.1,1.0,0.9,0.6727957316404334,1024,-0.5107421875,-0.6,0.22779026027456284,-0.8,-0.2,0.6000000000000001,0.5364460629465955
24B-W028-244TC2-20250807-D24,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.74384765625,0.75,0.40097783733712417,0.1,1.4,1.2999999999999998,0.9443028069289274,1024,-0.7115234374999999,-0.7,0.3987076182442983,-1.3,-0.1,1.2,0.9389564409653225
24B-W028-244TC2-20250807-D24,3_np2v,-2v~2v,正常,1024,1024,1.0119140625,1.0,0.5408933709580237,0.1,1.9,1.7999999999999998,1.2738038886061458,1024,-1.040234375,-1.0,0.5221415632492172,-1.8,-0.2,1.6,1.2296433814519065
24B-W028-244TC2-20250807-D24,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.26572265625,1.3,0.6693301134833363,0.1,2.4,2.3,1.576272417253257,1024,-1.2865234375,-1.3,0.6813921287164499,-2.3,-0.1,2.1999999999999997,1.6046784631272395
24B-W028-244TC2-20250807-D24,5_np2.5v,-2.5v~2.5v,正常,1024,1024,1.28466796875,1.3,0.6515709920512679,0.1,2.4,2.3,1.534449686280736,1024,-1.1671875,-1.1,0.6838576535526825,-2.3,-0.1,2.1999999999999997,1.610484774116567
24B-W028-244TC2-20250807-D24,6_np3v,-3v~3v,正常,1024,1024,1.6240234375,1.7,0.6804697815442058,0.1,2.9,2.8,1.6025063355366047,1024,-1.6052734375,-1.6,0.781313731515855,-2.8,-0.2,2.5999999999999996,1.8399938377198386
24B-W028-244TC2-20250807-D24,7_np3.3v,-3.3v~3.3v,正常,1024,1024,1.8783203125,1.9,0.7104021900928098,0.1,3.2,3.1,1.6729971576685672,1024,-1.6814453125000002,-1.7,0.9121357645221091,-3.1,-0.1,3.0,2.1480797254495667
24B-W028-244TC2-20250807-D24,8_np3.3v,-3.3v~3.3v,正常,1024,1024,1.790625,1.8,0.6407397362265491,0.1,3.2,3.1,1.5089420788135233,1024,-1.7638671874999998,-1.9,0.8975382242913263,-3.1,-0.1,3.0,2.1137025182060736
24B-W032-248TC2-20250718-D22,1_np1v,-1v~1v,正常,1024,1024,0.49064453125,0.49,0.27668681917213256,0.01,1.0,0.99,0.6515974591503721,1024,-0.5231152343750001,-0.535,0.29260144142049715,-1.0,-0.01,0.99,0.6890763945452708
24B-W032-248TC2-20250718-D22,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.767548828125,0.78,0.4351669015648929,0.03,1.5,1.47,1.0248180531853228,1024,-0.80857421875,-0.87,0.42797794404139483,-1.5,-0.03,1.47,1.0078880582174847
24B-W032-248TC2-20250718-D22,3_np2v,-2v~2v,正常,1010,1010,0.9734851485148515,0.98,0.5819511389490623,0.02,2.0,1.98,1.3704949322250415,1010,-1.0767920792079206,-1.08,0.5841833400258516,-2.0,-0.02,1.98,1.3757517657608804
24B-W032-248TC2-20250718-D22,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.9198535156249998,2.27,0.6826585930536107,0.05,2.5,2.45,1.607660986641253,1024,-1.8498828124999998,-2.25,0.7547974849856515,-2.5,-0.05,2.45,1.777548077141209
24B-W032-248TC2-20250718-D22,5_np3v,-3v~3v,正常,1024,1024,1.835302734375,1.59,0.6837212780604918,0.03,3.0,2.97,1.610163609832458,1024,-2.6559375,-2.94,0.6026181878701523,-3.0,-0.06,2.94,1.4191658324342087
