项目,父路径,时间,WN,WP,RHigh,RLow,Interval,组内总行数,涉及PT_Row文件夹数,涉及PT_Row文件夹(部分),RL_原始数据点数,RL_过滤后点数,RL_中位数,RL_项目总中位数,RL_MAD,RL_下限,RL_上限,RL_Pass,RH_原始数据点数,RH_过滤后点数,RH_中位数,RH_项目总中位数,RH_MAD,RH_下限,RH_上限,RH_Pass
25BW062-363TC3-D34_20260401,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-363TC3-D34_20260401\4_speed\1_5ns,5ns,2.5,2.0,0.3,0.3,10.0,102400,32,PT_Row0_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row12_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row21_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row3_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row23_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row26_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row25_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row13_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row20_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row4_5nsWN2.5WP2.0-RHigh0.3+RLow0.3x10... 等共32个,102400,98304,1191.5,1186.0,325.0,211.0,2161.0,True,102400,98304,1195.0,1202.0,350.0,152.0,2252.0,True
25BW062-363TC3-D34_20260401,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-363TC3-D34_20260401\4_speed\2_10ns,10ns,2.5,2.0,0.3,0.3,10.0,102400,32,PT_Row9_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row19_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row16_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row25_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row23_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row28_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row7_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row29_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row20_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row31_10nsWN2.5WP2.0-RHigh0.3+RLow0.3x10... 等共32个,102400,98304,1213.0,1186.0,325.0,211.0,2161.0,True,102400,98304,1237.0,1202.0,350.0,152.0,2252.0,True
25BW062-363TC3-D34_20260401,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-363TC3-D34_20260401\4_speed\3_40ns,40ns,2.5,2.0,0.3,0.3,10.0,102400,32,PT_Row26_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row27_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row0_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row30_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row8_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row31_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row29_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row23_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row17_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row22_40nsWN2.5WP2.0-RHigh0.3+RLow0.3x10... 等共32个,102400,98304,1207.0,1186.0,325.0,211.0,2161.0,True,102400,98304,1234.0,1202.0,350.0,152.0,2252.0,True
25BW062-363TC3-D34_20260401,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-363TC3-D34_20260401\4_speed\4_100ns,100ns,2.5,2.0,0.3,0.3,10.0,102400,32,PT_Row13_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row24_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row1_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row22_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row0_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row26_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row7_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row6_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row8_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row28_100nsWN2.5WP2.0-RHigh0.3+RLow0.3x10... 等共32个,102400,98304,1189.0,1186.0,325.0,211.0,2161.0,True,102400,98304,1222.0,1202.0,350.0,152.0,2252.0,True
25BW062-363TC3-D34_20260401,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-363TC3-D34_20260401\4_speed\5_1us,1us,2.5,2.0,0.3,0.3,10.0,102400,32,PT_Row29_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row4_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row13_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row9_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row20_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row18_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row3_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row23_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row31_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row27_1usWN2.5WP2.0-RHigh0.3+RLow0.3x10... 等共32个,102400,98304,1175.0,1186.0,325.0,211.0,2161.0,True,102400,98304,1179.0,1202.0,350.0,152.0,2252.0,True
25BW062-363TC3-D34_20260401,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-363TC3-D34_20260401\4_speed\6_10us,10us,2.5,2.0,0.3,0.3,10.0,102400,32,PT_Row26_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row21_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row2_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row9_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row17_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row3_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row4_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row20_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row25_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10; PT_Row1_10usWN2.5WP2.0-RHigh0.3+RLow0.3x10... 等共32个,102400,98304,1149.0,1186.0,325.0,211.0,2161.0,True,102400,98304,1151.0,1202.0,350.0,152.0,2252.0,True
