项目,父路径,时间,WN,WP,RHigh,RLow,Interval,组内总行数,涉及PT_Row文件夹数,涉及PT_Row文件夹(部分),RL_原始数据点数,RL_过滤后点数,RL_中位数,RL_项目总中位数,RL_MAD,RL_下限,RL_上限,RL_Pass,RH_原始数据点数,RH_过滤后点数,RH_中位数,RH_项目总中位数,RH_MAD,RH_下限,RH_上限,RH_Pass
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\1_40ns\40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10,40ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row2_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row5_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row18_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row13_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row10_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row17_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row24_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row8_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row29_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row11_40nsWN2.5WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1238.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1291.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\1_40ns\40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10,40ns,3.3,2.0,0.5,0.5,10.0,99200,31,PT_Row15_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row1_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row28_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row17_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row0_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row5_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row19_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row25_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row26_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row29_40nsWN3.3WP2.0-RHigh0.5+RLow0.5x10... 等共31个,99200,95232,1697.0,1320.0,367.0,219.0,2421.0,True,99200,95232,1338.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\2_10ns\10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10,10ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row4_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row28_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row29_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row11_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row15_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row24_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row26_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row3_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row31_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row2_10nsWN2.5WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1318.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1329.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\2_10ns\10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10,10ns,3.3,2.0,0.5,0.5,10.0,102400,32,PT_Row29_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row4_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row5_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row19_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row16_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row20_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row28_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row0_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row1_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row26_10nsWN3.3WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1678.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1342.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\3_100ns\100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10,100ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row13_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row10_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row20_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row26_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row28_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row0_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row8_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row14_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row19_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row29_100nsWN2.5WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1042.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1051.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\3_100ns\100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10,100ns,3.3,2.0,0.5,0.5,10.0,102400,32,PT_Row15_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row26_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row3_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row5_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row1_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row8_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row4_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row16_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row7_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row14_100nsWN3.3WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1758.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1408.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\4_1us\1usWN2.5WP2.0-RHigh0.5+RLow0.5x10,1us,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row6_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row30_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row29_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row21_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row25_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row14_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row4_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row17_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row13_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10; PT_Row0_1usWN2.5WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1029.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1029.0,1254.0,388.0,90.0,2418.0,True
25BW088-470TC3-D310_20260610,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW088-470TC3-D310_20260610\4_Speed\4_1us\1usWN3.3WP2.0-RHigh0.5+RLow0.5x10,1us,3.3,2.0,0.5,0.5,10.0,102400,32,PT_Row21_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row9_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row18_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row31_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row1_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row10_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row24_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row12_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row4_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10; PT_Row11_1usWN3.3WP2.0-RHigh0.5+RLow0.5x10... 等共32个,102400,98304,1390.0,1320.0,367.0,219.0,2421.0,True,102400,98304,1452.0,1254.0,388.0,90.0,2418.0,True
