项目,父路径,时间,WN,WP,RHigh,RLow,Interval,组内总行数,涉及PT_Row文件夹数,涉及PT_Row文件夹(部分),RL_原始数据点数,RL_过滤后点数,RL_中位数,RL_项目总中位数,RL_MAD,RL_下限,RL_上限,RL_Pass,RH_原始数据点数,RH_过滤后点数,RH_中位数,RH_项目总中位数,RH_MAD,RH_下限,RH_上限,RH_Pass
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\4_n3p2\5_5ns_loop1000  26,5ns,3.0,2.0,0.5,0.5,10.0,102400,32,PT_Row18_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row5_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row20_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row9_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row13_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row27_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row6_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row21_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row15_5nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row4_5nsWN3.0WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1425.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2176.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\2_n2p1.5v\5_500ns_loop1000 34,500ns,2.0,1.5,0.5,0.5,10.0,102400,32,PT_Row0_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row4_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row17_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row22_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row1_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row16_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row24_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row3_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row8_500nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row2_500nsWN2.0WP1.5RN0.5RP0.5x10... 等共32个,102400,98304,1199.0,1339.0,202.0,733.0,1945.0,True,102400,98304,1247.0,2065.0,235.0,1360.0,2770.0,False
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\2_n2p1.5v\6_100ns_loop1000  13,100ns,2.0,1.5,0.5,0.5,10.0,102400,32,PT_Row31_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row6_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row0_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row7_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row21_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row10_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row27_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row8_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row13_100nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row23_100nsWN2.0WP1.5RN0.5RP0.5x10... 等共32个,102400,98304,1160.0,1339.0,202.0,733.0,1945.0,True,102400,98304,1238.0,2065.0,235.0,1360.0,2770.0,False
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\2_n2p1.5v\7_10ns_loop1000 10,10ns,2.0,1.5,0.5,0.5,10.0,102515,32,PT_Row0_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row13_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row5_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row4_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row31_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row16_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row28_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row23_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row2_10nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row21_10nsWN2.0WP1.5RN0.5RP0.5x10... 等共32个,102515,98414,1135.0,1339.0,202.0,733.0,1945.0,True,102515,98414,1235.0,2065.0,235.0,1360.0,2770.0,False
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\2_n2p1.5v\8_5ns_loop1000  12,5ns,2.0,1.5,0.5,0.5,10.0,102200,32,PT_Row26_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row8_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row9_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row24_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row23_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row6_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row21_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row30_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row2_5nsWN2.0WP1.5RN0.5RP0.5x10; PT_Row3_5nsWN2.0WP1.5RN0.5RP0.5x10... 等共32个,102200,98112,1163.0,1339.0,202.0,733.0,1945.0,True,102200,98112,1240.0,2065.0,235.0,1360.0,2770.0,False
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\14 row7\1_10ns 2.5~2,10ns,2.5,2.0,0.5,0.5,10.0,2070400,1,PT_Row7_10nsWN2.5WP2.0-RHigh0.5-RLow0.5x10_20260302_1745,2070400,1987584,1357.0,1339.0,202.0,733.0,1945.0,True,2070400,1987584,2105.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\14 row7\1_10ns 2.5~2,1us,2.5,2.0,0.5,0.5,10.0,20704,1,PT_Row7_1usWN2.5WP2.0-RHigh0.5-RLow0.5x10_20260302_1745,20704,19875,1359.0,1339.0,202.0,733.0,1945.0,True,20704,19875,2106.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\16 5ns -2.5~2,1us,2.5,2.0,0.5,0.5,1.0,2048,32,PT_Row9_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row4_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row15_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row6_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row14_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row7_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row16_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row31_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row5_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1; PT_Row12_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1... 等共32个,2048,1967,1364.0,1339.0,202.0,733.0,1945.0,True,2048,1967,2116.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\16 5ns -2.5~2,5ns,2.5,2.0,0.5,0.5,10.0,204800,32,PT_Row25_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row31_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row27_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row9_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row30_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row29_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row26_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row2_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row24_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10; PT_Row6_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10... 等共32个,204800,196608,1364.0,1339.0,202.0,733.0,1945.0,True,204800,196608,2113.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\17_5ns -2.5~2 row22,1us,2.5,2.0,0.5,0.5,1.0,24320,1,PT_Row22_1usWN2.5WP2.0-RHigh0.5-RLow0.5x1,24320,23347,1319.0,1339.0,202.0,733.0,1945.0,True,24320,23347,2059.0,2065.0,235.0,1360.0,2770.0,True
