项目,父路径,时间,WN,WP,RHigh,RLow,Interval,组内总行数,涉及PT_Row文件夹数,涉及PT_Row文件夹(部分),RL_原始数据点数,RL_过滤后点数,RL_中位数,RL_项目总中位数,RL_MAD,RL_下限,RL_上限,RL_Pass,RH_原始数据点数,RH_过滤后点数,RH_中位数,RH_项目总中位数,RH_MAD,RH_下限,RH_上限,RH_Pass
26BW113-567TC3-D34_20260528,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\26BW113-567TC3-D34_20260528\4_Speed\1_40ns,40ns,3.0,2.5,0.5,0.5,1.0,10240,32,PT_Row25_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row9_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row8_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row24_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row1_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row2_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row28_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row12_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row14_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row18_40nsWN3.0WP2.5-RHigh0.5+RLow0.5x1... 等共32个,10240,9831,1080.0,1076.0,207.0,455.0,1697.0,True,10240,9831,1097.0,1091.0,211.0,458.0,1724.0,True
26BW113-567TC3-D34_20260528,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\26BW113-567TC3-D34_20260528\4_Speed\2_100ns,100ns,3.0,2.5,0.5,0.5,1.0,10240,32,PT_Row13_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row7_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row19_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row23_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row12_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row20_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row9_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row14_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row15_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row22_100nsWN3.0WP2.5-RHigh0.5+RLow0.5x1... 等共32个,10240,9831,1076.0,1076.0,207.0,455.0,1697.0,True,10240,9831,1092.0,1091.0,211.0,458.0,1724.0,True
26BW113-567TC3-D34_20260528,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\26BW113-567TC3-D34_20260528\4_Speed\3_1us,1us,3.0,2.5,0.5,0.5,1.0,10240,32,PT_Row6_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row0_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row4_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row9_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row23_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row7_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row31_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row30_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row19_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row21_1usWN3.0WP2.5-RHigh0.5+RLow0.5x1... 等共32个,10240,9831,1073.0,1076.0,207.0,455.0,1697.0,True,10240,9831,1089.0,1091.0,211.0,458.0,1724.0,True
26BW113-567TC3-D34_20260528,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\26BW113-567TC3-D34_20260528\4_Speed\4_100us,100us,3.0,2.5,0.5,0.5,1.0,10240,32,PT_Row12_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row25_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row2_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row31_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row13_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row24_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row19_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row18_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row1_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1; PT_Row16_100usWN3.0WP2.5-RHigh0.5+RLow0.5x1... 等共32个,10240,9831,1074.0,1076.0,207.0,455.0,1697.0,True,10240,9831,1088.0,1091.0,211.0,458.0,1724.0,True
